V3	V4	V6	name	time
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259010/MQ220906-44_S44_L001_R2_001.fastq.gz	MQ220906-44_S44_L001_R2_001.fastq.gz	MQ22090644	MQ22090644	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259011/MQ220906-45_S45_L001_R1_001.fastq.gz	MQ220906-45_S45_L001_R1_001.fastq.gz	MQ22090645	MQ22090645	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259011/MQ220906-45_S45_L001_R2_001.fastq.gz	MQ220906-45_S45_L001_R2_001.fastq.gz	MQ22090645	MQ22090645	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259017/MQ220906-50_S50_L001_R1_001.fastq.gz	MQ220906-50_S50_L001_R1_001.fastq.gz	MQ22090650	MQ22090650	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259017/MQ220906-50_S50_L001_R2_001.fastq.gz	MQ220906-50_S50_L001_R2_001.fastq.gz	MQ22090650	MQ22090650	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259018/MQ220906-51_S51_L001_R1_001.fastq.gz	MQ220906-51_S51_L001_R1_001.fastq.gz	MQ22090651	MQ22090651	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259018/MQ220906-51_S51_L001_R2_001.fastq.gz	MQ220906-51_S51_L001_R2_001.fastq.gz	MQ22090651	MQ22090651	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259022/MQ220906-55_S55_L001_R1_001.fastq.gz	MQ220906-55_S55_L001_R1_001.fastq.gz	MQ22090655	MQ22090655	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259022/MQ220906-55_S55_L001_R2_001.fastq.gz	MQ220906-55_S55_L001_R2_001.fastq.gz	MQ22090655	MQ22090655	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259024/MQ220906-57_S57_L001_R1_001.fastq.gz	MQ220906-57_S57_L001_R1_001.fastq.gz	MQ22090657	MQ22090657	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259024/MQ220906-57_S57_L001_R2_001.fastq.gz	MQ220906-57_S57_L001_R2_001.fastq.gz	MQ22090657	MQ22090657	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259026/MQ220906-59_S59_L001_R1_001.fastq.gz	MQ220906-59_S59_L001_R1_001.fastq.gz	MQ22090659	MQ22090659	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259026/MQ220906-59_S59_L001_R2_001.fastq.gz	MQ220906-59_S59_L001_R2_001.fastq.gz	MQ22090659	MQ22090659	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259028/MQ220906-60_S60_L001_R1_001.fastq.gz	MQ220906-60_S60_L001_R1_001.fastq.gz	MQ22090660	MQ22090660	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259028/MQ220906-60_S60_L001_R2_001.fastq.gz	MQ220906-60_S60_L001_R2_001.fastq.gz	MQ22090660	MQ22090660	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259029/MQ220906-61_S61_L001_R1_001.fastq.gz	MQ220906-61_S61_L001_R1_001.fastq.gz	MQ22090661	MQ22090661	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12259029/MQ220906-61_S61_L001_R2_001.fastq.gz	MQ220906-61_S61_L001_R2_001.fastq.gz	MQ22090661	MQ22090661	T1
